key,variance,split
airplane,0.5279224010868231,vrd_noun
bag,0.7862236121494627,vrd_noun
ball,0.7042437381871757,vrd_noun
basket,0.7908087443908646,vrd_noun
bear,0.8077293177900925,vrd_noun
bed,0.7008746655814064,vrd_noun
bench,0.8310151526915899,vrd_noun
bike,0.7309941693790588,vrd_noun
boat,0.7492456202295155,vrd_noun
bottle,0.7188761873365358,vrd_noun
bowl,0.7411656511689737,vrd_noun
box,0.8152981315886789,vrd_noun
building,0.8030602511966957,vrd_noun
bus,0.58679180030248,vrd_noun
bush,0.8238065023019336,vrd_noun
cabinet,0.7562591420030366,vrd_noun
camera,0.7373021377321899,vrd_noun
can,0.6385189344524299,vrd_noun
car,0.7255276386058019,vrd_noun
cart,0.7570805638298393,vrd_noun
cat,0.7761536489914105,vrd_noun
chair,0.8247491187797407,vrd_noun
clock,0.6593778673936238,vrd_noun
coat,0.7702567368091382,vrd_noun
computer,0.65642045469819,vrd_noun
cone,0.7417800773154373,vrd_noun
counter,0.7867406785794574,vrd_noun
cup,0.6980851945777815,vrd_noun
desk,0.6676244928990697,vrd_noun
dog,0.863977696177852,vrd_noun
elephant,0.6009758046519591,vrd_noun
engine,0.7932075639589325,vrd_noun
face,0.7721072372023788,vrd_noun
faucet,0.7037457964801763,vrd_noun
giraffe,0.8049232229713338,vrd_noun
glasses,0.7319442545541301,vrd_noun
grass,0.8201935229263343,vrd_noun
hand,0.7124294464404095,vrd_noun
hat,0.703766226729216,vrd_noun
helmet,0.6820108912993369,vrd_noun
horse,0.5902918910173682,vrd_noun
hydrant,0.743773620230895,vrd_noun
jacket,0.7823341210379858,vrd_noun
jeans,0.7611437624287655,vrd_noun
keyboard,0.7303626994439658,vrd_noun
kite,0.8472645126392413,vrd_noun
lamp,0.7968267854137441,vrd_noun
laptop,0.6776545570730034,vrd_noun
luggage,0.7574447271011224,vrd_noun
monitor,0.649946793522847,vrd_noun
motorcycle,0.559834891760239,vrd_noun
mountain,0.7900558459479561,vrd_noun
mouse,0.6278476032782471,vrd_noun
oven,0.6802263219484747,vrd_noun
pants,0.7959175611466692,vrd_noun
paper,0.7747381643199628,vrd_noun
person,0.8202837589017726,vrd_noun
phone,0.7077322398486561,vrd_noun
pillow,0.7579316424543188,vrd_noun
pizza,0.7278987052805419,vrd_noun
plane,0.5247693530310461,vrd_noun
plant,0.8047468080116601,vrd_noun
plate,0.8103693286151779,vrd_noun
post,0.6405906349101124,vrd_noun
pot,0.7483936706986014,vrd_noun
ramp,0.7772928427210752,vrd_noun
refrigerator,0.6561914244129762,vrd_noun
road,0.7328929456669261,vrd_noun
roof,0.8322353259522126,vrd_noun
sand,0.7749208416675359,vrd_noun
shelf,0.8068532639107954,vrd_noun
shirt,0.7749466837152227,vrd_noun
shoe,0.6872477484722259,vrd_noun
shoes,0.7639037614169171,vrd_noun
shorts,0.7523154311061607,vrd_noun
sink,0.7375249019300039,vrd_noun
skateboard,0.7801285251178302,vrd_noun
skis,0.7549256584255029,vrd_noun
sky,0.7961543145174376,vrd_noun
snowboard,0.7824141566407872,vrd_noun
sofa,0.6910024625396096,vrd_noun
stove,0.6774430556265063,vrd_noun
street,0.789804185372979,vrd_noun
suitcase,0.7807436891495134,vrd_noun
sunglasses,0.6165445288787792,vrd_noun
surfboard,0.8420359129141878,vrd_noun
table,0.7917025845870298,vrd_noun
tie,0.7734118460907221,vrd_noun
tower,0.7471317202843208,vrd_noun
train,0.6727349153329697,vrd_noun
tree,0.8146643210102743,vrd_noun
trees,0.801198311277655,vrd_noun
truck,0.7197764979970989,vrd_noun
umbrella,0.7615069591976087,vrd_noun
van,0.6787047075557489,vrd_noun
vase,0.7667616102337399,vrd_noun
watch,0.5895678555039153,vrd_noun
wheel,0.8267843291886042,vrd_noun
attach,0.8939578599603042,vrd_verb
carry,0.7554519643089807,vrd_verb
contain,0.8910369433683611,vrd_verb
cover,0.7981712443630902,vrd_verb
drive,0.8233214486413716,vrd_verb
eat,0.7652014053554015,vrd_verb
feed,0.7876916167694823,vrd_verb
fly,0.6820489017055242,vrd_verb
follow,0.8371847602719616,vrd_verb
have,0.882318046301441,vrd_verb
hit,0.5197381047337981,vrd_verb
hold,0.8157831680386355,vrd_verb
kick,0.5790324890724167,vrd_verb
lean,0.8215615363783972,vrd_verb
look,0.8355980152725282,vrd_verb
lay,0.8853413106304734,vrd_verb
play,0.8150521238007752,vrd_verb
pull,0.7495571488671718,vrd_verb
rest,0.8405793555205608,vrd_verb
ride,0.7897100880321827,vrd_verb
sit,0.8508369724809356,vrd_verb
skate,0.5933677837805901,vrd_verb
sleep,0.7407010001585752,vrd_verb
stand,0.8777393716175482,vrd_verb
talk,0.8261990729152895,vrd_verb
touch,0.895612874813063,vrd_verb
use,0.7714623120243639,vrd_verb
walk,0.521621387391906,vrd_verb
watch,0.8740098218165733,vrd_verb
wear,0.8246704951956383,vrd_verb
accountant,0.6676004247299693,vg_noun
ad,0.7789351676446545,vg_noun
air,0.8999942629983844,vg_noun
airplane,0.6408558575806305,vg_noun
airport,0.6895398178328055,vg_noun
animal,0.9107050251947737,vg_noun
apparel,0.8015959597260517,vg_noun
apple,0.7884265598187505,vg_noun
area,0.9191840782851862,vg_noun
arm,0.7938326045585544,vg_noun
arrow,0.6733751541077678,vg_noun
baby,0.8742480356465707,vg_noun
back,0.8978943864793789,vg_noun
backpack,0.6904638315219729,vg_noun
bag,0.7700235103157204,vg_noun
baggage,0.822486895802675,vg_noun
balcony,0.7694497659186643,vg_noun
ball,0.6110354102650551,vg_noun
ballplayer,0.4951941847529593,vg_noun
banana,0.7908321231039651,vg_noun
banner,0.7685602865897001,vg_noun
barroom,0.8508037434561685,vg_noun
base,0.7898557624124541,vg_noun
baseball,0.8016005689200284,vg_noun
basket,0.8046269148984659,vg_noun
bathroom,0.5878453138097312,vg_noun
bathtub,0.7253509699799522,vg_noun
batter,0.5195659730510629,vg_noun
beach,0.8137218035934629,vg_noun
beak,0.5934930908540974,vg_noun
bear,0.8681408781937281,vg_noun
beard,0.6633412034987733,vg_noun
bed,0.7625509171144833,vg_noun
belt,0.653547761240094,vg_noun
bench,0.8341133826925824,vg_noun
bicycle,0.7649016819036402,vg_noun
bird,0.8714710051087253,vg_noun
blanket,0.8476464008860232,vg_noun
blind,0.7411188714306325,vg_noun
boat,0.815300221125359,vg_noun
body,0.9507728672042467,vg_noun
boodle,0.7442389840667745,vg_noun
book,0.766257813179857,vg_noun
boot,0.70329848081388,vg_noun
bottle,0.6908487027564941,vg_noun
bottom,0.8680401628033876,vg_noun
bowl,0.7839063888808511,vg_noun
box,0.8027081299094766,vg_noun
branch,0.8502067220039852,vg_noun
bread,0.7657865801449703,vg_noun
brick,0.8397638983262277,vg_noun
bridge,0.8220120142166852,vg_noun
broccoli,0.639517925588654,vg_noun
bucket,0.7150574906670748,vg_noun
building,0.8596917251579752,vg_noun
bull,0.7429876800136744,vg_noun
bun,0.7786073007059524,vg_noun
bus,0.6443256110896285,vg_noun
button,0.63811630695621,vg_noun
cabinet,0.7619189027643579,vg_noun
camera,0.7239756918765493,vg_noun
can,0.6800419241555339,vg_noun
candle,0.6498852216863693,vg_noun
cap,0.6256703595368224,vg_noun
car,0.7878260077826367,vg_noun
