n_image,percentage,split
1,0.9958767137408514,vrd_noun
1,0.9905164416039584,vrd_noun
1,0.9880424698484692,vrd_noun
1,0.9911349345428306,vrd_noun
1,0.9871147304401608,vrd_noun
1,0.9917534274817029,vrd_noun
1,0.9917534274817029,vrd_noun
1,0.9935058241418411,vrd_noun
1,0.9959797958973302,vrd_noun
1,0.9868054839707247,vrd_noun
2,0.994948974332543,vrd_noun
2,0.9930934955159262,vrd_noun
2,0.992062673951139,vrd_noun
2,0.9892794557262138,vrd_noun
2,0.9909287702298732,vrd_noun
2,0.9974229460880322,vrd_noun
2,0.9914441810122667,vrd_noun
2,0.9967013709926812,vrd_noun
2,0.9955674672714153,vrd_noun
2,0.9943304813936708,vrd_noun
3,0.995670549427894,vrd_noun
3,0.997113699618596,vrd_noun
3,0.9967013709926812,vrd_noun
3,0.9964952066797237,vrd_noun
3,0.9945366457066281,vrd_noun
3,0.9969075353056386,vrd_noun
3,0.9944335635501494,vrd_noun
3,0.9972167817750748,vrd_noun
3,0.9975260282445109,vrd_noun
3,0.9982476033398618,vrd_noun
4,0.9954643851149366,vrd_noun
4,0.995670549427894,vrd_noun
4,0.9989691784352128,vrd_noun
4,0.9965982888362025,vrd_noun
4,0.9972167817750748,vrd_noun
4,0.9960828780538089,vrd_noun
4,0.9957736315843727,vrd_noun
4,0.9981445211833831,vrd_noun
4,0.9974229460880322,vrd_noun
4,0.997319587628866,vrd_noun
5,0.9978352747139471,vrd_noun
5,0.9980414390269045,vrd_noun
5,0.9983506854963405,vrd_noun
5,0.9976291104009896,vrd_noun
5,0.9981445211833831,vrd_noun
5,0.9951551386455004,vrd_noun
5,0.9973198639315535,vrd_noun
5,0.9968044531491599,vrd_noun
5,0.9975260282445109,vrd_noun
5,0.997113699618596,vrd_noun
6,0.9981445211833831,vrd_noun
6,0.9962890423667663,vrd_noun
6,0.9967013709926812,vrd_noun
6,0.9970106174621173,vrd_noun
6,0.9988660962787341,vrd_noun
6,0.9979383568704258,vrd_noun
6,0.997113699618596,vrd_noun
