n_image,percentage,split
1,0.8930007215750954,vg_noun
1,0.824760333986187,vg_noun
1,0.8983609937119884,vg_noun
1,0.9376352953303783,vg_noun
1,0.9242346149881455,vg_noun
1,0.9241315328316668,vg_noun
1,0.9012472940933924,vg_noun
1,0.9448510462838883,vg_noun
1,0.9188743428512525,vg_noun
1,0.97196165343779,vg_noun
2,0.9699000103082156,vg_noun
2,0.9411400886506546,vg_noun
2,0.9373260488609422,vg_noun
2,0.9551592619317596,vg_noun
2,0.8654777857952788,vg_noun
2,0.9753633646015875,vg_noun
2,0.9655705597361097,vg_noun
2,0.9653643954231522,vg_noun
2,0.979486650860736,vg_noun
2,0.9858777445624163,vg_noun
3,0.9663952169879394,vg_noun
3,0.9846407586846717,vg_noun
3,0.9801051437996083,vg_noun
3,0.9786619936089063,vg_noun
3,0.9894856200391712,vg_noun
3,0.9750541181321514,vg_noun
3,0.7930110297907432,vg_noun
3,0.9605195340686528,vg_noun
3,0.9479435109782497,vg_noun
3,0.9774250077311617,vg_noun
4,0.9725801463766622,vg_noun
4,0.9706215854035667,vg_noun
4,0.8671271002989382,vg_noun
4,0.9398000206164313,vg_noun
4,0.9925780847335326,vg_noun
4,0.9735078857849706,vg_noun
4,0.975360824742268,vg_noun
4,0.9824760333986187,vg_noun
4,0.9909287702298732,vg_noun
4,0.9697969281517369,vg_noun
5,0.978043500670034,vg_noun
5,0.9779404185135553,vg_noun
5,0.9792804865477786,vg_noun
5,0.9770126791052469,vg_noun
5,0.948562003917122,vg_noun
5,0.9655705597361097,vg_noun
5,0.9141325636532316,vg_noun
5,0.9134109885578806,vg_noun
5,0.9690753530563859,vg_noun
5,0.9804143902690444,vg_noun
6,0.9707246675600454,vg_noun
6,0.9877332233790331,vg_noun
6,0.9639212452324503,vg_noun
6,0.9776311720441192,vg_noun
6,0.9805174724255231,vg_noun
6,0.9743325430368003,vg_noun
6,0.9702092567776518,vg_noun
6,0.9763941861663746,vg_noun
6,0.9792804865477786,vg_noun
6,0.985259251623544,vg_noun
7,0.9853623337800227,vg_noun
7,0.9713431604989177,vg_noun
7,0.9863931553448099,vg_noun
7,0.9855684980929801,vg_noun
7,0.9826821977115762,vg_noun
7,0.991341098855788,vg_noun
7,0.9770126791052469,vg_noun
7,0.9708277497165241,vg_noun
7,0.9821667869291826,vg_noun
7,0.947840428821771,vg_noun
8,0.9873208947531182,vg_noun
8,0.9796928151736934,vg_noun
8,0.991341098855788,vg_noun
8,0.9641274095454077,vg_noun
8,0.9744356251932791,vg_noun
8,0.9833006906504485,vg_noun
8,0.9800020616431295,vg_noun
8,0.96794144933512,vg_noun
8,0.9880424698484692,vg_noun
8,0.9788681579218638,vg_noun
9,0.9927842490464901,vg_noun
9,0.9887640449438202,vg_noun
9,0.9892794557262138,vg_noun
9,0.9881455520049479,vg_noun
9,0.9798989794866508,vg_noun
9,0.9829914441810123,vg_noun
9,0.9901041129780435,vg_noun
9,0.9907226059169157,vg_noun
9,0.9810328832079167,vg_noun
9,0.9795897330172147,vg_noun
10,0.9887640449438202,vg_noun
10,0.992062673951139,vg_noun
10,0.9908256880733946,vg_noun
10,0.9854654159365014,vg_noun
10,0.987011648283682,vg_noun
10,0.9851561694670653,vg_noun
10,0.9878363055355118,vg_noun
10,0.9923719204205752,vg_noun
10,0.971240078342439,vg_noun
10,0.9713431604989177,vg_noun
11,0.9847438408411504,vg_noun
11,0.991341098855788,vg_noun
11,0.9855684980929801,vg_noun
11,0.9853623337800227,vg_noun
11,0.979486650860736,vg_noun
11,0.9788681579218638,vg_noun
11,0.9902071951345223,vg_noun
11,0.9808267188949593,vg_noun
